Project ID,Site,Station id,Camera,SD-Card,"Camera 
Deployment 
Begin Date","Camera 
Deployment 
End Date","Camera 
Deployment 
End Time",Latitude,Longitude,Elevation (m),Slope,Aspect,Feature.Type,"Distance to 
feature (m)",Height (cm),"Camera 
Direction","Camera 
Deployment 
Begin Time",Photos per burst,Quiet.Period.Setting,Camera.Make,Time.Zone,Additional comments
Bobcat Range Shifts,Tenquille Lake,TL1,38,10,17/06/2025,,,50.52989,123.06155,485,15,165,Game trail,2,65,149,9:26,3,1s,Reconyx,UTC-07:00,
Bobcat Range Shifts,Tenquille Lake,TL2,49,21,17/06/2025,,,50.50299,122.96687,271,15,235,Game trail,3,100,60,14:52,3,1s,Reconyx,UTC-07:00,Saw bear
Bobcat Range Shifts,Tenquille Lake,TL3,58,36,18/06/2025,,,50.5452,123.02609,943,,51,Game trail,2,20.5,329,8:28,3,1s,Reconyx,UTC-07:00,Screen damaged
Bobcat Range Shifts,Tenquille Lake,TL4,45,17,18/06/2025,,,50.5412,123.02657,899,,39,Game trail,2,,90,9:17,1,1s,Reconyx,UTC-07:00,
Bobcat Range Shifts,Tenquille Lake,TL5,39,11,18/06/2025,,,50.54189,123.00644,1177,,219,Game trail,2,,118,10:24,1,1s,Reconyx,UTC-07:00,
Bobcat Range Shifts,Tenquille Lake,TL6,32,4,18/06/2025,,,50.52036,122.99901,1312,,225,Game trail,3,81.5,105,,1,1s,Reconyx,UTC-07:00,
Bobcat Range Shifts,Tenquille Lake,TL7,55,27,18/06/2025,,,50.53812,122.99211,1407,23,165,Game trail,3,21.5,100,18:04,1,1s,Reconyx,UTC-07:00,
Bobcat Range Shifts,Tenquille Lake,TL8,37,9,19/06/2025,,,50.5356,122.9852,1470,4,180,Game trail,3,66,115,8:40,1,1s,Reconyx,UTC-07:00,Above the trail
Bobcat Range Shifts,Tenquille Lake,TL9,46,18,19/06/2025,,,50.53535,122.95052,1614,,174,Game trail,3,54,233,11:16,1,1s,Reconyx,UTC-07:00,
Bobcat Range Shifts,Tenquille Lake,TL10,48,20,19/06/2025,,,50.53519,122.95032,1618,15,165,Game trail,3,52,270,12:05,1,1s,Reconyx,UTC-07:00,
Bobcat Range Shifts,Tenquille Lake,TL11,57,29,19/06/2025,,,50.53508,122.94277,1703,20,322,Game trail,3,49,158,,1,1s,Reconyx,UTC-07:00,
Bobcat Range Shifts,Tenquille Lake,TL12,42,14,19/06/2025,,,50.53459,122.93623,1772,22,10,Game trail,3,70,135,15:15,1,1s,Reconyx,UTC-07:00,
Bobcat Range Shifts,Tenquille Lake,TL13,31,3,19/06/2025,,,50.53899,122.9355,1730,14,178,Game trail,3.5,55,56,16:05,1,1s,Reconyx,UTC-07:00,
Bobcat Range Shifts,Tenquille Lake,TL14,,12,19/06/2025,,,50.53878,122.92867,1684,12,200,Game trail,2,63,217,,1,1s,Reconyx,UTC-07:00,
Bobcat Range Shifts,Tenquille Lake,TL15,44,16,20/06/2025,,,50.5473,123.01413,1215,16,133,Other: previous access road,2.5,54,50,15:39,1,1s,Reconyx,UTC-07:00,On previous access road
Bobcat Range Shifts,Tenquille Lake,TL16,,5,20/06/2025,,,50.53209,123.02028,1180,2,93,Human trail,2,70,335,16:50,1,1s,Reconyx,UTC-07:00,
Bobcat Range Shifts,Tenquille Lake,TL17,50,22,30/06/2025,,,50.5455,123.04462,901,6,201,Human trail,2,58.5,210,14:51,1,1s,Reconyx,UTC-07:00,"Overgrown, old service road, clearcut, bushwack"
Bobcat Range Shifts,Tenquille Lake,TL18,56,28,30/06/2025,,,50.53835,123.01288,1027,7,228,Game trail,3,63.5,284,16:16,1,1s,Reconyx,UTC-07:00,SD slot potentially finicky
Bobcat Range Shifts,Tenquille Lake,TL19,30,2,30/06/2025,,,50.55626,123.0255,941,7,154,Game trail,4,32,102,17:43,1,1s,Reconyx,UTC-07:00,Near an unofficial campsite pulloff
Bobcat Range Shifts,Tenquille Lake,TL20,54,26,01/07/2025,,,50.50136,122.95615,543,22,171,Game trail,3,60.5,7,11:50,1,1s,Reconyx,UTC-07:00,"Burn site, deer scat"
Bobcat Range Shifts,Tenquille Lake,TL21,47,19,01/07/2025,,,50.5001,122.94985,581,10,136,Game trail,1.5,41.5,162,12:45,1,1s,Reconyx,UTC-07:00,Big ahh Douglas Fir
Bobcat Range Shifts,Tenquille Lake,TL22,52,24,01/07/2025,,,50.548,123.08698,555,17,90,Game trail,3,59.5,48,14:57,1,1s,Reconyx,UTC-07:00,"Lots of unknown scat piles, Kwasi has pic"
Bobcat Range Shifts,Tenquille Lake,TL23,29,1,01/07/2025,,,50.54365,123.07614,485,9,124,Game trail,2.5,46,286,16:05,1,1s,Reconyx,UTC-07:00,Humongous Douglas Fir
Bobcat Range Shifts,Alex Fraser,AF1,16,46,15/07/2025,,,52.45289,121.72491,1250,7,21,Game trail,2.5,44,28,8:48,1,1s,Reconyx,UTC-07:00,
Bobcat Range Shifts,Alex Fraser,AF2,23,53,15/07/2025,,,52.45704,121.72822,1199,17,115,Game trail,3,54.5,38,10:08,1,1s,Reconyx,UTC-07:00,"Near wetland depression. Moose bed nearby. Site burned, no live canopy"
Bobcat Range Shifts,Alex Fraser,AF3,12,42,15/07/2025,,,52.46258,121.71302,1096,8,42,Cow trail,3,75,84,11:50,1,1s,Reconyx,UTC-07:00,"On snag, cow trail"
Bobcat Range Shifts,Alex Fraser,AF4,11,41,05/08/2025,,,52.44003,121.7305,957,4,160,Other: Cleaaring - no game trail within 50m of point,2.5,64,246,8:00,1,1s,Reconyx,UTC-07:00,
